State,2014,2015,2016,2017,2018
United States,2.5,2.9,1.6,2.4,2.9
Alabama,-0.7,1.3,0.7,1.2,2.8
Alaska,-2.7,1,-2,0,0.7
Arizona,1.3,2.4,3.2,3.5,4.1
Arkansas,1,0.8,0.6,0.7,1.7
California,4.1,5,3,4.4,4.3
Colorado,4.7,4.6,2.4,4,3.5
Connecticut,-1.4,2.2,0,0.4,0.5
Delaware,7.3,3.7,-4.2,-0.6,0
Florida,2.7,4.2,3.3,3.4,3.2
Georgia,3.3,3.4,3.5,3.7,2.4
Hawaii,0.3,3.6,2.2,2.3,2.4
Idaho,2.6,2.8,3.9,3.5,4
Illinois,1.4,1.3,0.4,0.9,2.1
Indiana,3.2,-0.7,1.6,1.9,2
Iowa,5.4,2.6,-0.3,-0.3,2.2
Kansas,2.1,1.9,2.6,1,2.1
Kentucky,0.3,0.7,0.7,1.1,1.4
Louisiana,3.1,-0.5,-1.8,1.4,2.6
Maine,1.7,0.7,2.2,2.2,2.2
Maryland,1.1,1.9,3.4,0.9,2.5
Massachusetts,2,3.8,1.7,2.5,3.1
Michigan,1.7,2.5,2.2,1.5,2.5
Minnesota,2.9,1.2,1.9,1.9,2.6
Mississippi,0.5,0.1,0.4,0.9,1.3
Missouri,0.5,1.3,-0.4,1,2.4
Montana,1.7,3.9,-1.4,1.7,2.6
Nebraska,2,2.9,0.4,2.1,0.9
Nevada,1.3,4.2,2.9,3.2,4.2
New Hampshire,1.1,2.8,1.8,1.8,2.3
New Jersey,0.5,1.8,0.9,0.7,2.2
New Mexico,3.2,2.2,0.1,0.1,2.5
New York,2.3,1.7,1.3,2.1,1.2
North Carolina,2.2,3.2,1.2,2.1,2.4
North Dakota,7.6,-2.9,-7,0,3.6
Ohio,3.8,1.5,0.8,1.6,1.9
Oklahoma,5.7,4.3,-3,0.8,2.6
Oregon,3.4,5.6,4.7,3.8,3.8
Pennsylvania,2.3,2.2,1.3,0.6,2.6
Rhode Island,0.1,1.8,0,-0.2,1.2
South Carolina,2.6,3.5,2.9,3.3,2.6
South Dakota,1.3,2.9,0.5,-0.1,1.9
Tennessee,1.7,3.4,2.1,1.9,3.1
Texas,3.5,4.8,0.2,2.9,4
Utah,3.2,4.1,4,3.9,3.7
Vermont,0.1,1.3,1.6,0.1,1.2
Virginia,-0.2,2,0.4,1.8,2.6
Washington,3.6,4.4,3.5,5.2,5.8
West Virginia,-0.4,-0.2,-1.2,1.5,2.3
Wisconsin,2.1,1.8,1.2,1.3,2.4
Wyoming,0.6,2.6,-4.2,-0.1,0.1
