State,2014,2015,2016,2017,2018
United States,13,13.3,13.5,14,14.2
Alabama,14.5,14.9,15.7,16.6,16.5
Alaska,22.1,26.9,25.8,27,24.6
Arizona,18,18.2,17.7,18.2,19.2
Arkansas,17.3,19.1,18.2,20.8,18.3
California,10.5,10.3,10.5,10.5,10.9
Colorado,19.9,19.5,20.5,20.3,21.9
Connecticut,9.8,9.9,10.1,10.5,10.6
Delaware,13.2,12.6,11.5,11.6,11.4
Florida,13.9,14.4,14,14,15.2
Georgia,12.6,12.7,13.3,13.6,14.6
Hawaii,13.8,13.5,12.1,15.2,11.9
Idaho,20,22.1,21.4,23.2,23.9
Illinois,10.5,10.3,10.7,11.2,11.3
Indiana,14.3,14.4,15.4,16.3,16
Iowa,12.9,13.9,14.6,15,15.5
Kansas,15.7,16.3,17.9,19.1,19.3
Kentucky,15.9,17.1,16.8,16.9,17.5
Louisiana,14.3,15.2,14.2,15.2,15.1
Maine,15.7,16,15.9,18.9,18.5
Maryland,9.8,8.8,9.4,9.8,10.2
Massachusetts,8.2,8.9,8.8,9.5,9.9
Michigan,13.3,13.8,13.3,14.1,15
Minnesota,12.2,13.2,13.2,13.8,13.1
Mississippi,12.5,14,12.7,15,13.8
Missouri,16.3,17.1,18.4,18.5,19.5
Montana,23.9,25.3,25.9,28.9,24.9
Nebraska,13.4,11.7,13.1,14.7,13.4
Nevada,19.6,18.4,21.4,20.3,20.8
New Hampshire,17.8,16.5,17.2,18.9,19.4
New Jersey,8.3,8.3,7.2,8.3,8.3
New Mexico,21,23.7,22.5,23.3,25
New York,8.1,7.8,8.1,8.1,8.3
North Carolina,13,13.4,13,14.3,13.7
North Dakota,17.8,17.5,19,20.1,19.2
Ohio,12.6,13.9,14.2,14.8,15.3
Oklahoma,19.1,20.3,21,19.1,20
Oregon,18.6,17.8,17.8,19,19
Pennsylvania,13.3,14,14.7,15,14.9
Rhode Island,10.1,11.2,11.2,11.8,9.5
South Carolina,15.2,14.8,15.7,16.3,15.4
South Dakota,17.1,20.4,20.2,22.5,19.3
Tennessee,14.1,15.7,16.3,16.8,16.6
Texas,12.2,12.5,12.6,13.4,13.7
Utah,20.5,22.4,21.8,22.7,22.2
Vermont,18.7,14.8,17.3,18.3,18.8
Virginia,12.9,12.7,13.2,13.4,14
Washington,15.2,15.4,14.9,16.9,15.9
West Virginia,18.1,17.4,19.3,21.1,21.2
Wisconsin,13.1,14.7,14.7,15.4,14.8
Wyoming,20.6,28,25.2,26.9,25.2
